title,company,location,description,url,technologies,salary,level
Unmanned Aerial Vehicle Engineer,Beetroot,Київ,"We’re looking for a hands-on Tech Lead to build autonomous drone systems and grow a Ukraine-based engineering team together with a Nordic high-tech client. This is a hands-on Tech Lead role where you’ll work at the intersection of robotics, AI, and embedded systems, contributing directly to building real-world autonomous drone solutions.Beetroot is a trusted tech partner helping companies build sustainable and high-performing engineering teams. In collaboration with our Nordic client, we are growing a Ukraine-based team that will play a key role in developing next-generation autonomous systems.Our client is a fast-growing Nordic defense-tech company focused on building autonomous systems powered by robotics, AI, and embedded software. They operate in a highly innovative environment with a strong emphasis on rapid development, real-world testing, and delivering functional solutions quickly. The team collaborates closely across countries, combining deep technical expertise with a pragmatic, product-focused mindset.In this role, you will directly impact the development of cutting-edge drone technologies, contributing to both product innovation and the growth of the local engineering team in Ukraine. What you’ll do in this role  
Take technical ownership of the Ukraine-based part of the system
Stay deeply hands-on with coding, debugging, and system design
Actively contribute to development and testing
Collaborate closely with the Swedish engineering team as one unit
Support and mentor engineers locally (without heavy line management at this stage)
Drive architecture decisions, code quality, and engineering standards
Participate in planning, prioritization, and releases
Help scale the team and establish local engineering practices
Occasionally, travel to Sweden for workshops or team meetings.
We’re looking for 
5+ years of software development experience
Strong Python skills + solid C++ understanding
Previous experience as a Tech Lead or a strong Senior ready to step up
Experience with robotics, drones (UAVs), or embedded systems
Experience with computer vision (image/video processing, CV models, datasets)
Familiarity with ROS or similar distributed systems is a strong plus
Solid understanding of software engineering practices, Git, and agile
Strong communication skills and English (B2-C1)
Ownership mindset and ability to work in a fast-moving environment
How to knock our socks off 
Experience in defense, aerospace, or high-security environments
Knowledge of cybersecurity principles
Interest in autonomous systems and applied AI
We welcome applications from veterans.
Naming five or more dishes that include beetroot besides borshch.
✔ Not checking every box?This job looks very exciting, but you hesitate to apply because of the confidence gap? Reach out to us anyway! Beetroot is an inclusive workplace that considers all applicants. We’re committed to openness — promoting equality and fostering an environment where different backgrounds, ideas, and experiences are not just accepted, but embraced. So let’s discover together whether we could be an excellent fit for each other.Please send us your CV in English, and we’ll be happy to discuss your application further.",https://www.work.ua/jobs/7836723/,"['Agile', 'C++', 'Git', 'Python']",,Senior
"Інженер-програміст БПЛА, військовослужбовець",9 бригада безпілотних систем,,"Вакансія: Інженер-програміст БПЛА 9 Окрема Бригада Безпілотних Систем Опис компанії: 9 Окрема Бригада Безпілотних Систем — це інноваційний підрозділ, який спеціалізується на розробці та експлуатації безпілотних літальних апаратів. Наша місія — забезпечити найвищі стандарти безпеки та ефективності в використанні БПЛА для різних завдань.Обов’язки: 
Розробка, програмування та налагодження програмного забезпечення для БПЛА.
Проведення тестування програмних рішень та їх оптимізація.
Співпраця з командою інженерів для інтеграції нових функцій.
Виявлення та усунення проблем у програмному забезпеченні.
Підтримка та оновлення існуючих програмних систем.
Вимоги: 
Досвід роботи в програмуванні (мінімум 1 рік).
Знання мов програмування (C++, Python, Java або подібні).
Базові знання в області робототехніки та безпілотних систем.
Аналітичне мислення та вміння працювати в команді.
Бажання навчатися та розвиватися в динамічному середовищі.
Ми пропонуємо: 
Гнучкий графік роботи та можливість працювати з будь-якої точки світу.
Конкурентну заробітну плату та бонуси за виконані проекти.
Можливості для професійного розвитку та навчання.
Дружній колектив та підтримку на всіх етапах роботи.
Якщо ви готові приєднатися до нашої команди та внести свій внесок у розвиток чекаємо на вас!",https://www.work.ua/jobs/6791254/,"['C++', 'Python']",70500.0,
Database internals python developer,123cluster.com,,"Job Title: Python Developer — Database Acceleration Platform (Remote, Full-Time)About MemFlow MemFlow is an innovative database acceleration product focused on improving read performance transparently, without requiring application code changes. We’re a small, fast-moving team building next-generation database middleware.The Role You’ll work on core engine components that sit between applications and databases, handling protocol-level communication and high-performance data flow.Responsibilities
Develop and maintain Python-based components of the MemFlow engine
Implement and extend database protocol handlers
Work with query parsing, caching, and cache invalidation logic
Write clean, well-documented, production-grade code
Requirements
Strong Python skills — non-negotiable
Solid hands-on experience with at least one of: PostgreSQL, MySQL, Oracle, or SQL Server as a developer
Understanding of database wire protocols (e.g. PostgreSQL pgwire, Oracle OCI)
Strong written and spoken English — all communication is in English
Self-motivated and able to work independently in a remote environment
Nice to Have
Experience with connection pooling, query interception, or proxy layers
Familiarity with SQLite, DuckDB, Redis, or similar technologies
Prior work on open-source database tooling or extensions
What We Offer
100% remote, full-time position
Flexible working hours
Direct collaboration with an experienced team of database professionals
Please submit your CV in English. All candidate communication will be conducted in English.",https://www.work.ua/jobs/7822575/,"['Oracle', 'PostgreSQL', 'Python', 'Redis', 'SOLID Principles', 'SQL', 'SQLite']",70000.0,Intern
Python Developer (Intern),HYS Enterprise,,"We are looking for an enthusiastic and proactive Intern Python Developer to join our dynamic team!This is a fantastic opportunity to start your career in software development and gain hands-on experience working with modern technologies in a collaborative and supportive environment. If you complete the internship successfully, you will have the chance to continue your journey with our team for at least 1 year.For this internship, you need to have:
Good knowledge of Python programming language; 
Understanding of basic software development concepts such as data structures, algorithms, object-oriented programming, and async programming; 
Familiarity with version control systems, preferably Git; 
Knowledge of Django; 
Familiarity with SQL and NoSQL Databases; 
Intermediate English level.
Would Be a Plus:
Familiarity with ML, LLM, and RAG; 
Passionate about AI; 
Some experience in pet projects.
About the project:Join Epicstaff — our open-source startup building a platform for creating AI agents with a visual UI and modular backend. Check it out github.com/EpicStaff and make sure you understand what it’s about. If it clicks with you — welcome aboard, and let’s build something great together.Our selection process includes:
To submit your application for the Internship, please follow the link below and fill out the form at the provided link — https://hysenterprise.hurma.work/public-vacancies/289?source=Mg==&utm_source=work_ua

HR interview;
Tech interview;
Final interview with the founders of the company.
We offer:
Internship schedule: Monday to Friday, 10.00−19.00;
Office-based/remote work;
No time trackers or other bureaucratic measures;
Practical experience on internal projects;
Networking with experienced professionals willing to share their knowledge and expertise;
Opportunity to obtain a contract with HYS Enterprise as a Junior specialist;
Gifts for birthdays and professional holidays;
Participation in internal and external events.",https://www.work.ua/jobs/6033030/,"['Django', 'Git', 'GitHub', 'NoSQL', 'Python', 'SQL']",,Intern
"Інженер-програміст, військовослужбовець","Рейд, 17 Полтавська бригада НГУ",,"Підрозділ розробки та впровадження (напрям РЕБ), шукає вмотивованих і відповідальних людей для тестування, впровадження та масштабування інновацій у сфері оборони. Основні завдання — перевірка нових ідей, їх реалізація, вдосконалення та інтеграція в роботу підрозділу. Важливі якості: ініціативність,технічна грамотність, адаптивність, вміння працювати в команді та відповідальність. Пропонуємо професійний розвиток, роботу з сучасними технологіями та можливість реально впливати на оборонні рішення. Обов’язки: 
підтримка та оптимізація існуючих програмних продуктів
розробка програмного забезпечення для ПК та одноплатників (Orange Pi, Raspberry Pi)
тестування та усунення помилок в процесі впровадження сторонніх рішень
Навички:Особисті навички:
здатність працювати як у команді, так і самостійно
бажання постійно навчатись та вдосконалювати свої навички
вміння швидко пристосовуватись до ситуації, швидко приймати зважені рішення
організованість, відповідальність, стресостійкість
дисциплінованість, відсутність шкідливих звичок (алкогольна, наркотична, ігрова залежність, тощо)
Умови:
cлужба за мобілізацією до рішення про демобілізацію або за контрактом
гарантуємо 60 днів підготовки для кандидатів без офіційного військового досвіду
повне матеріальне забезпечення; забезпечення формою і речовим майном
харчування за державні кошти
безоплатна медична допомога військовослужбовцям у військових медичних закладах
повний пакет соціальних виплат
соціальний захист
грошове забезпечення 25 000 — 120 000 гривень за виконання завдань в зоні бойових дій залежно від тривалості та району виконання завдання
можливість переведення чинних військовослужбовців за згодою безпосереднього командира
Надсилайте свої резюме або телефонуйте на офіційний номер 3333 для призначення співбесіди",https://www.work.ua/jobs/7873596/,"['Python', 'Raspberry Pi']",75000.0,
Викладач програмування з Python MineCraft в онлайн-школу для дітей,"IT Future, онлайн-школа програмування для дітей",,"Привіт! Ми — IT FUTURE Online — шукаємо викладачів з Програмування на Python MineCraft. За 8+ років ми навчили 15 000 учнів, і наша команда вже налічує понад 350 крутих викладачів та продовжуємо зростати далі. Тому, у зв’язку з динамічним розвитком нашої школи, оголошуємо набір викладачів з програмування на Roblox для проведення індивідуальних уроків онлайн, для дітей віком від 8 років. Що ми пропонуємо?
Дистанційну роботу: працюй дистанційно з будь-якої точки світу та самостійно формуй свій графік роботи;
Конкурентну заробітню плату: близько 35000₴ на повній зайнятості, та біля 14 000₴ на частковій; 
Зручність: комунікація з клієнтами тільки через школу і в робочий час;
Готова програма: покрокові уроки вже підготовлені для тебе;
Підтримка: ментор та менеджери на зв’язку 7 днів на тиждень;
Зручний особистий кабінет з інформацією про твоїх учнів та реєстром проведених/запланованих занять.
Чим ти будеш займатись? 
Проводити індивідуальні уроки, для учнів, віком від 10 до 17 років, по підготовленій програмі навчання;
Надавати зворотній звʼязок, про успіхи учнів;
Заповнення проведених уроків у CRM cистемі;
Комунікувати з менеджерами, в чаті
Хто нам підходить?
Ти маєш досвід в IT та бажання навчатись;
У тебе є комп’ютер з веб-камерою та надійний інтернет;
Ти маєш такі якості як: відповідальність, самоорганізованість, комунікабельність; 
Тобі подобається працювати з дітьми;
Готовність працювати від 20 годин на тиждень;
Ти знаєш, і можеш викладати один або декілька з даних напрямків: Scratch, Roblox, Minecraft Education, Minecraft Python, Python, Web-програмування, Photoshop, Відеомонтаж, 3D Blender, Unity, Construct, AI.
Залишай резюме, а краще відразу заповнюй форму https://docs.google.com/forms/d/1-z3VzLYZsqwt95Kr8xE_JD_XNyt2ykLIKyV1mRxR3XA/edit та приєднуйся до нашої дружньої команди! IT FUTURE Online — Онлайн школа програмування для дітей від 7 років. https://itfuture.online/uk/",https://www.work.ua/jobs/7873044/,['Python'],24500.0,
Викладач Python для дітей,IT Step Тернопіль,Тернопіль,"Опис вакансіїПортрет ідеального кандидата (викладач МКА)
Гарні комунікативні навички, загальна людська привабливість, грамотна мова, коли кандидат говорить, на нього хочеться дивитись і слухати
Любить дітей і вміє з ними спілкуватись
Має достатній рівень знань в технології, на яку проходить відбір, любить в неї занурюватись, знає і вміє розказати про неї і навчити її нюансам простою мовою, яка буде зрозуміла і дитині
Актуальний, слідкує за сучасними трендами в ІТ, розвитком науки і техніки, бізнесу, маркетингу, освіти, культури, в т ч захоплень дітей і молоді
Має проактивну життєву позицію, креативний, готовий до ініціативи та експериментів в роботі
ВимогиЯкі необхідні знання та вміння, для виконання роботи:
Вміння доносити складні речі простою мовою
Знання сучасних трендів, що цікавлять дітей та молодь
Вміння зацікавити своїм поясненням слухачів 
Знання основи програмування на Пайтон — постійні, змінні, функції, алгоритм, кортеж тощо
Вміння провести парсинг сайту
Вміння запрограмувати гру на 2-х гравців
Вміння модифікувати гру на змагання з комп’ютером
Вміння протестувати та продемонструвати результат коду
Примітка — якщо відповіді гарно презентують потенціал кандидата, але його технічних знань недостатньо, в разі наявного навчального треку для викладачів з обраної технології, кандидату пропонується пройти навчання, що забезпечить прокачку тех. бази до потрібного нам рівня.Обов’язкиЩо саме повинен робити співробітник на позиції:
Проведення занять з навчальної дисципліни у цікавій інтерактивній формі. 
Підтримання мотивації студентів протягом курсу.
Забезпечення досягнення студентами практичних результатів навчання, оцінювання їх робіт.
Видача та перевірка домашнього завдання. 
Комунікація зі студентами та батьками в разі виникнення запросів.
Менторський супровід підготовки студентами фінальних проектів. Підсумкове оцінювання. 
Написання відгуків студентам 1 раз на місяць.",https://www.work.ua/jobs/7784706/,[],,
Python Developer,Компанія прихована,Київ,"Ми — українська інженерна команда, що розробляє програмні рішення для військових безпілотних систем. Шукаємо Python Developer, який хоче працювати над реальними технологіями, що застосовуються в польових умовах, та впливати на результат не лише в коді, а й у реальному світі.Основні задачі:
Розробка, інтеграція та підтримка програмного забезпечення на Python;
Участь у створенні та розвитку ПЗ для військових безпілотних систем (дронів);
Інтеграція backend-рішень з апаратною частиною;
Співпраця з техніками та пілотами: обробка фідбеку, пошук та усунення проблем;
Робота в команді з дотриманням дедлайнів та інженерної дисципліни.
Наші очікування:
3+ роки комерційного досвіду розробки на Python;
Досвід створення WEB-додатків із використанням Flask / FastAPI / Django;
Робота з БД: PostgreSQL (або інші реляційні БД), MongoDB, Redis;
Розробка RESTful API;
Базове розуміння frontend-частини;
Досвід розгортання застосунків у хмарних середовищах (AWS / Azure / GCP);
Досвід створення асинхронних або багатопоточних застосунків;
Написання тестів (unit, e2e).
Буде перевагою:
Розуміння польотного стеку та досвід роботи з протоколом MAVLink;
Досвід роботи з периферійними пристроями (акселерометри, гіроскопи, модулі зв’язку, дисплеї тощо);
Сильна фізико-математична база.
Ми пропонуємо:
підтримку дружньої та професійної команди;
графік роботи: пн-пт. 8:00—17:00 або 9:00—18:00;
офіційне працевлаштування, конкурентна зарплата та соціальний пакет;
роботу над технологічними продуктами оборонного напрямку
бронювання.",https://www.work.ua/jobs/7706298/,"['AWS', 'Azure', 'Django', 'FastAPI', 'Flask', 'GCP', 'MongoDB', 'PostgreSQL', 'Python', 'REST API', 'Redis', 'SQL']",,
Junior Backend developer (Python) у Косів,Lugi Ukraine,Івано-Франківськ,"LUGI — компанія, яка працює в імпорті та оптовій торгівлі, з фокусом на ефективність, масштабування та розвиток власних процесів. Ми активно автоматизуємо бізнес-процеси, працюємо з даними та будуємо внутрішні інструменти для підвищення операційної ефективності.У зв’язку з розвитком технічного напрямку шукаємо Python-розробника, який допоможе реалізовувати та підтримувати внутрішні сервіси, API та рішення для роботи з даними.Вимоги до кандидата: 1. База Python
Впевнене знання синтаксису Python 3
Розуміння ООП (класи, наслідування, інкапсуляція)
Робота з:
списками, словниками, множинами
comprehensions функціями
декораторами (на базовому рівні)

Розуміння помилок та exception handling
2. Робота з фреймворками
FastAPI (роути, pydantic-схеми, базова валідація)
Flask (роути, шаблони, базова робота з БД через peewee)
Django (моделі, views, ORM, базові міграції) — не обов’язково, але важлива готовність вчитися і розвиватися в цьому напрямку
Базове розуміння Apache Airflow або подібних ETL-інструментів — буде плюсом
3. Бази даних
Розуміння SQL (SELECT, JOIN, WHERE)
Робота з реляційними БД
Розуміння індексів (без глибокої оптимізації)
4. Git
commit / branch / pull request
базове розуміння workflow
5. API
Розуміння REST, RPC (на базовому рівні)
Робота з JSON, CSV, XML, XLSX
Розуміння HTTP-кодів
Буде плюсом (але не обов’язково)
Docker (базово)
Написання простих тестів (pytest)
Робота з CLI Linux
Умови роботи:
Робота в стабільній компанії в команді професіоналів, які діляться досвідом і підтримують розвиток
Можливості для професійного зростання та самореалізації
Графік роботи: понеділок-п'ятниця, з 09:00 до 18:00 (8-годинний робочий день)
Конкурентна заробітна плата",https://www.work.ua/jobs/7871406/,"['Django', 'Docker', 'FastAPI', 'Flask', 'Git', 'Linux', 'PyTest', 'Python', 'REST API', 'SQL']",,Junior
Backend Infrastructure Software Engineer,6 центр рекрутингу Сил безпілотних систем,,"429-й окремий полк безпілотних систем «Ахіллес» виконує бойові завдання на найбільш гарячих ділянках фронту. Підрозділ створений на базі батальйону ударних БпАК, який входив до складу 92 ОШБр. За 2023−2024 роки «Ахіллес» знищив та пошкодив 19 853 законні військові цілі противника. У звʼязку зі значними показниками ефективності у січні 2025 року батальйон масштабували в 429 окремий полк безпілотних систем «Ахіллес» у складі Сухопутних Військ ЗСУ. Головними завданнями підрозділу є аеророзвідка, вогневе ураження сил та засобів противника за допомогою безпілотників.R&D центр відкриває позиції для інженерів, які готові працювати над проєктами повного циклу в напрямку БПЛА/робототехніки: електроніка, ПЗ, випробування та впровадження рішень.ВИМОГИМінімальні вимоги
1+ рік професійного досвіду або досвіду власного проєкту з розробки бекенд-сервісів на Python / Java / C++.
Базові знання з комп’ютерних наук: структури даних, основи багатопоточності, основи мереж (TCP/UDP/HTTP).
Досвід роботи з Linux (CLI, процеси, логи, базові мережеві інструменти).
Базові навички роботи з API: проєктування/використання REST/gRPC, JSON/Protobuf.
Знайомство щонайменше з одним типом баз даних (PostgreSQL/MySQL або Redis).
Технічна англійська на рівні Intermediate.
Бажані вимоги
3+ роки розробки та експлуатації продакшн-бекенду/інфраструктурних систем.
Розуміння аспектів надійності системи: моніторинг (логи/метрики/трейси), SLO, дебаг інцидентів, пошук першопричини (root-cause analysis).
Розуміння концепцій розподілених систем: узгодженість (consistency), ідемпотентність, ретраї/таймаути, backpressure.
Робота з продуктивністю: профайлінг, оптимізація затримок/пропускної здатності, ефективність по пам’яті/CPU, стрес тестування.
Практичний досвід із типових інфраструктурних компонентів:

Черги/стрімінг повідомлень: Kafka / RabbitMQ.
Кешування: Redis / Memcached.
Бази даних: PostgreSQL/MySQL, базові індекси та тюнінг запитів.
Розгортання/підтримка: Docker, CI/CD, базове знайомство з Kubernetes (або еквівалентний сильний досвід).

Досвід із системами реального часу, низькою затримкою (стрімінг телеметрії, системи керування, медіапайплайни) буде перевагою.
УМОВИ
мобілізація до кінця воєнного стану або служба за контрактом
можливість переведення чинних військовослужбовців за згодою безпосереднього командира
можливість служби для кандидатів, які за висновком ВЛК придатні до служби у військових частинах забезпечення, ТЦК та СП, ВВНЗ, навчальних центрах тощо
можливість служби для кандидатів зі статусом СЗЧ
грошове забезпечення згідно з нормами чинного законодавства
роботу в команді мотивованих військовослужбовців, орієнтованих на результат і розвиток;
участь у розбудові армії нового типу — проактивної, професійної та адекватної сучасним викликам.
Більше інформації про підрозділ можете знайти за посиланням: https://achilles.army/",https://www.work.ua/jobs/7550404/,"['C++', 'CI/CD', 'Docker', 'Kubernetes', 'Linux', 'PostgreSQL', 'Python', 'REST API', 'RabbitMQ', 'Redis', 'SQL']",50000.0,
